"Cooling Value"	"Average Performance"
"0.9999"	"0.5241379310344827"
"0.999"	"0.48582375478927203"
"0.995"	"0.49808429118773945"
"0.99"	"0.44904214559386973"
"0.95"	"0.8655172413793103"
"0.9"	"0.888888888888889"
"0.75"	"0.8865900383141763"
"0.5"	"0.9007662835249042"
"0.25"	"0.8988505747126436"
"0.1"	"0.8977011494252873"
"0.05"	"0.9"
