Kernel,Exponent,Gamma,Training %,Test %,Train Time (s),Test Time (s)
Polynomial,1,---,90.16%,90.65%,1.23,0.12
Polynomial,2,---,82.74%,81.96%,29.06,2.3
Polynomial,3,---,72.03%,71.45%,41.01,2.13
Polynomial,5,---,63.55%,62.83%,24.89,2.48
Polynomial,10,---,62.12%,61.52%,22.51,2.76
RBF,---,0.001,60.48%,60.87%,77.86,1.64
RBF,---,0.010,72.59%,73.04%,53.75,1.76
RBF,---,0.100,86.96%,86.67%,33.56,1.68
RBF,---,1.000,92.52%,92.90%,11.67,1.18
