AL,14,2,3,1,0,0,1,1,0,0,3,0,0,0,0,1
NL,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
NL,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,296,44,87,22,5,6,46,1,1,34,63,2,3,0,7,10
AL,164,17,35,6,0,5,20,1,0,21,46,1,3,0,1,7
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,147,20,40,6,3,2,11,8,1,8,35,1,1,1,1,3
AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,470,65,126,18,1,1,40,9,5,52,65,0,4,7,4,9
AL,66,3,15,1,0,0,4,0,0,2,21,0,0,0,1,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,218,38,52,12,0,16,39,0,0,39,83,1,0,0,3,4
NL,7,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
AL,299,33,72,17,2,1,30,21,1,16,52,0,3,3,5,6
NL,23,3,4,0,1,1,3,0,0,0,8,0,1,0,1,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,170,16,45,11,0,5,22,0,0,17,51,2,2,0,1,4
NL,257,29,66,15,2,6,29,0,0,31,61,2,1,2,4,8
NL,646,78,183,29,12,14,78,25,13,36,100,5,4,0,5,15
AL,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
NL,166,18,43,11,1,4,22,0,1,17,35,0,1,2,0,10
NL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AL,487,70,142,25,5,23,82,16,4,43,102,5,7,0,3,9
NL,24,4,7,2,0,0,3,0,0,1,3,0,0,1,0,0
NL,54,4,12,0,2,0,4,2,1,5,18,2,1,2,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,16,1,4,1,0,0,1,0,0,1,3,0,0,6,0,0
AL,158,15,32,6,0,2,12,3,2,6,24,1,1,4,0,2
AL,278,36,78,12,0,16,37,0,0,30,59,3,1,0,4,10
AL,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
AL,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
AL,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
AL,142,16,38,6,1,5,16,2,1,8,27,0,1,0,0,2
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,598,88,169,43,2,16,67,21,7,73,150,0,14,0,1,10
NL,56,6,7,1,0,0,2,2,1,5,3,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,259,33,76,15,2,2,19,16,3,8,47,2,0,5,0,2
NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,22,1,3,1,0,0,1,0,0,2,7,0,0,0,0,2
NL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NL,199,16,40,12,0,1,16,0,1,16,39,0,0,0,0,10
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,11,2,1,0,0,0,0,0,0,3,3,0,0,0,0,1
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,93,10,13,1,0,1,10,0,2,9,12,1,0,1,2,4
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,16,1,1,0,0,0,2,0,0,1,5,0,0,6,0,0
AL,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,420,62,122,27,10,18,72,7,3,21,117,0,2,2,1,6
AL,18,0,3,0,0,0,1,0,0,1,0,0,1,1,1,1
NL,40,2,3,0,0,2,6,0,0,3,16,0,0,0,1,0
AL,58,4,10,5,0,2,9,0,0,3,27,0,0,0,0,2
NL,76,8,19,2,0,0,4,5,2,8,21,2,0,2,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,140,16,42,11,0,4,11,0,1,4,22,0,1,0,0,1
NL,36,3,4,0,1,0,4,0,0,1,17,0,0,6,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NL,78,5,21,2,0,4,13,0,1,4,19,0,1,1,1,2
NL,47,1,5,0,0,0,0,0,1,0,21,0,0,8,0,0
NL,18,0,1,0,0,0,2,0,0,1,10,0,0,0,2,0
NL,86,7,14,4,1,1,3,1,1,4,24,2,0,2,0,2
AL,104,10,28,2,0,1,9,3,4,11,27,0,0,0,1,3
NL,561,72,138,33,4,15,35,4,0,31,113,0,3,2,3,11
NL,469,76,144,35,0,22,92,2,1,37,89,1,1,0,7,15
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,435,44,108,26,3,4,45,1,4,33,95,6,3,2,3,4
AL,117,23,33,10,2,3,19,5,0,3,22,0,2,1,2,1
